% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
384784 +4.885455697e+03 +4.885455697e+03 +4.740495697e+03 +4.740495697e+03 +3.7404e+00 +7.7058e-01 +4.7165e-01 +1.3339e+00 -2.2174e+00 -2.4141e-01 -3.2995e+00 -2.2814e+00 -4.3665e+00 -5.0066e-01 +6.7271e-01 +2.1597e+00 +7.3158e-01 +9.7629e-01 -4.5635e-01 +5.1812e-01 -1.5287e+00 -9.1482e-01 +6.3821e-01 -1.6931e+00
721258 +2.766236235e+03 +2.766236235e+03 +2.621276235e+03 +2.621276235e+03 +1.0761e+00 -1.8477e+00 -1.7829e+00 -2.4655e-01 +2.4378e+00 +3.3022e+00 -1.3143e+00 -9.3795e-01 +4.4739e-01 +2.2729e+00 -1.8000e-01 +3.3830e+00 +1.8032e+00 +3.4680e-01 +3.9200e-01 +2.4574e+00 -9.2992e-02 -1.7141e+00 +2.0784e+00 -2.6456e+00
1472775 +2.394677784e+03 +2.394677784e+03 +2.249717784e+03 +2.249717784e+03 +2.0003e+00 +2.4675e-01 +2.0688e+00 -2.1770e+00 +1.1888e+00 +2.2457e+00 -2.1107e+00 +1.1485e+00 -1.3675e+00 +8.6460e-01 +2.1499e+00 +2.7248e+00 +4.3338e-01 +2.4800e+00 -1.8147e-01 +1.9025e-01 -4.5327e-01 -2.8231e+00 +2.3462e+00 -1.8147e+00
6259196 +1.929765944e+03 +1.929765944e+03 +1.784805944e+03 +1.784805944e+03 +3.2259e+00 +8.4975e-01 -3.2288e+00 +2.7921e+00 -2.6945e+00 +1.9389e+00 +2.0047e+00 +4.0719e+00 +1.4976e+00 +1.0765e+00 +2.3453e+00 +7.2477e-01 +7.7030e-02 +1.7585e+00 +2.3010e+00 +2.3848e+00 -1.3104e+00 -1.9692e+00 +1.8369e+00 -2.1873e+00
7582321 +6.667672524e+02 +6.667672524e+02 +5.218072524e+02 +5.218072524e+02 -2.6951e-01 -3.2800e+00 +3.0890e+00 -1.8878e+00 -1.4710e+00 +2.6072e+00 +1.5707e+00 -2.8302e-01 -2.7292e+00 -9.5895e-01 +2.4587e+00 +9.9089e-01 +1.6890e+00 +6.6646e-01 +1.9379e+00 +1.8906e+00 -3.3939e-01 -1.0744e+00 +2.4797e+00 -1.2723e+00
73430396 +5.588596261e+02 +5.588596261e+02 +4.138996261e+02 +4.138996261e+02 +3.4630e+00 -1.3761e+00 -2.3728e+00 +1.0366e+00 -1.6560e+00 +1.0841e+00 -2.9404e+00 +1.2499e+00 +3.3070e-02 +1.2567e+00 +1.5898e+00 -3.1114e-01 +1.5153e+00 +1.2773e+00 +1.7809e-01 +1.8766e+00 -6.5183e-01 -1.7478e+00 +2.2887e+00 -1.9467e+00
177625189 +2.981414078e+02 +2.981414078e+02 +1.531814078e+02 +1.531814078e+02 -1.1079e+00 -2.5417e+00 -5.7593e-02 -1.1660e+00 -2.5904e+00 -5.4544e-01 -3.5988e+00 -5.0881e-01 -2.6622e+00 -2.8280e-01 +2.5261e+00 +1.8391e+00 +9.8185e-01 +1.8094e+00 +1.7996e+00 +2.0068e-01 -2.4339e+00 -2.1004e+00 +8.6641e-01 -1.0486e+00
% function evaluation | noise-free fitness - Fopt (-6.300000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.799472224e+04 +6.799472224e+04 +6.798842224e+04 +6.798842224e+04 +4.6909e+00 -2.8626e+00 +1.1707e+00 -4.6799e+00 +7.8260e-01 +4.5980e+00 -2.0784e+00 +2.2135e+00 +4.3268e+00 +7.9672e-01 +1.7616e+00 +3.0395e+00 -2.2279e-01 -3.4762e-01 -1.3563e+00 -1.8710e+00 -1.1514e+00 -1.6512e+00 -1.1509e+00 +1.0325e+00
39 +6.659294269e+04 +6.659294269e+04 +6.658664269e+04 +6.658664269e+04 +2.1544e+00 +2.1335e+00 -2.4511e+00 +3.1257e+00 -1.5861e+00 -4.0507e+00 -3.5584e+00 +1.6081e+00 -3.2854e+00 +2.2046e-01 -1.8739e+00 +1.8589e+00 +3.0555e+00 +7.8717e-01 +2.3828e+00 +2.9541e+00 -1.8467e+00 +8.4345e-01 -3.6197e+00 -2.7235e+00
43 +5.610476718e+04 +5.610476718e+04 +5.609846718e+04 +5.609846718e+04 +2.8561e+00 -4.1237e+00 +1.1999e+00 -1.3121e+00 +2.5721e-01 +9.3302e-01 +1.7981e+00 +1.5105e+00 +1.2880e+00 -3.6892e+00 -2.0833e+00 +2.8917e+00 +1.0214e+00 +2.5674e+00 +1.3210e+00 -1.7175e+00 -2.5706e+00 -1.3013e+00 -1.3187e+00 +1.1467e+00
68 +1.649555374e+04 +1.649555374e+04 +1.648925374e+04 +1.648925374e+04 +3.2446e+00 +3.4081e+00 +1.7824e+00 -1.6381e+00 -3.6756e+00 -2.7158e+00 -2.1764e+00 -1.7083e+00 +5.2524e-01 +7.6458e-01 -3.7684e+00 +3.5062e+00 +2.2159e+00 +1.8119e+00 -2.2242e+00 +5.2858e-01 -1.4180e+00 -1.0398e+00 -1.6762e+00 +7.5799e-02
2258 +1.023774584e+04 +1.023774584e+04 +1.023144584e+04 +1.023144584e+04 -4.2403e+00 -2.0551e+00 -3.5638e+00 -1.8184e+00 +1.1825e+00 -4.8301e+00 -6.0112e-01 -3.3965e+00 +9.1666e-01 -9.4612e-01 -3.1259e+00 +5.9004e-01 +4.2265e-02 +5.1879e-01 +7.5355e-01 +1.0334e+00 -2.3219e+00 +3.5170e-01 -2.3414e+00 -8.1817e-01
74866 +8.874368066e+03 +8.874368066e+03 +8.868068066e+03 +8.868068066e+03 +4.4960e+00 +2.3366e+00 -1.2921e+00 +4.2010e+00 +1.6279e+00 -2.7900e+00 -9.6033e-01 -2.3212e+00 +3.8118e-02 +4.4922e+00 -1.5895e+00 +2.0874e+00 -2.1596e+00 +1.5991e+00 -2.3384e+00 +2.7823e+00 -2.8232e+00 -1.7010e+00 -2.6427e+00 -1.2890e+00
132844 +6.170169182e+03 +6.170169182e+03 +6.163869182e+03 +6.163869182e+03 +3.4312e+00 -3.2138e+00 -1.2269e+00 +3.5382e+00 +3.9725e-01 +2.6839e+00 -6.8430e-01 +6.7905e-01 +7.5417e-01 +3.1154e+00 -2.0266e+00 -6.0343e-01 -2.1675e+00 +2.8201e+00 +1.5256e-01 +9.7087e-01 -2.6335e+00 -1.5411e-01 -1.2806e+00 -2.2678e+00
526637 +5.311928309e+03 +5.311928309e+03 +5.305628309e+03 +5.305628309e+03 -2.0222e+00 +1.9054e+00 +1.1667e+00 +2.0254e+00 -2.8449e+00 +1.3355e+00 +3.9233e+00 +2.9757e+00 +1.5347e-01 +1.2787e+00 -1.1712e+00 +2.2105e+00 -3.1195e+00 +1.7993e+00 -1.9858e-01 +2.0836e+00 -1.2322e+00 -1.9342e-01 -1.9714e+00 -1.5262e+00
701929 +2.911016576e+03 +2.911016576e+03 +2.904716576e+03 +2.904716576e+03 -5.7465e-01 -1.4001e+00 -2.0570e+00 +2.6855e+00 -2.2058e+00 -2.0696e+00 -9.1905e-02 -2.7872e+00 +3.5573e+00 +4.5366e-01 -9.8303e-01 -5.4514e-01 -9.3609e-01 +4.8933e-01 -1.9311e+00 +1.4316e+00 -1.6112e-01 -2.7812e+00 -1.2419e+00 -1.3923e+00
4327184 +2.680195334e+03 +2.680195334e+03 +2.673895334e+03 +2.673895334e+03 +2.4686e-01 -9.8477e-01 +2.4643e+00 +3.4676e+00 +1.4010e+00 -7.9086e-01 +3.2356e+00 +1.8880e+00 +3.9817e+00 -2.8666e-01 -4.3288e-02 +1.0413e+00 -2.8244e+00 +2.1194e+00 +5.5485e-01 +2.5543e+00 -1.7636e+00 -5.0027e-01 -8.7143e-01 -8.3458e-01
10295766 +8.558376098e+02 +8.558376098e+02 +8.495376098e+02 +8.495376098e+02 -1.7438e+00 +2.3184e+00 -1.4407e+00 +1.8632e+00 -9.9928e-01 -3.4537e-02 -4.0301e-01 -2.3832e+00 +2.6942e+00 -1.3453e-01 -6.4323e-01 -7.5305e-02 -1.7713e+00 +6.2458e-01 -8.9066e-01 +9.1077e-01 -2.7615e+00 -1.0978e+00 -1.1794e+00 -1.8520e+00
178452678 +1.021295953e+02 +1.021295953e+02 +9.582959532e+01 +9.582959532e+01 -5.7859e-01 +1.6234e+00 -2.3133e-01 -1.4617e+00 -3.1558e+00 -1.9253e+00 +2.2363e+00 -8.3281e-01 +7.6087e-01 +8.3774e-01 +1.7727e-01 +1.8379e+00 -6.3699e-01 +2.0017e+00 -7.8320e-01 +2.2266e+00 -1.9200e+00 -2.1114e+00 -4.2085e-01 -1.0572e+00
% function evaluation | noise-free fitness - Fopt (7.056400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.986820199e+05 +1.986820199e+05 +1.993876599e+05 +1.993876599e+05 +4.7166e+00 +2.3345e+00 -2.9361e+00 -3.4228e-02 -9.7545e-01 +3.5560e+00 -1.4296e+00 -9.0814e-02 +2.4088e+00 +3.3077e+00 -3.9701e+00 -2.0598e+00 -2.0183e+00 +4.9354e+00 -2.4279e+00 +9.0287e-01 +3.4473e+00 -1.6447e+00 +3.2024e+00 +1.5711e+00
6 +1.696479988e+05 +1.696479988e+05 +1.703536388e+05 +1.703536388e+05 +9.5630e-01 -7.4237e-02 -7.8759e-01 +6.1870e-01 -2.0547e+00 +2.9393e+00 +6.2059e-02 +1.6834e+00 +4.1929e+00 +1.3824e-01 -2.5806e+00 -2.8581e-01 +4.2735e+00 +1.1377e+00 +8.3952e-01 -4.4407e-01 -2.0440e+00 +1.8449e+00 -4.5923e+00 +4.1389e+00
10 +1.071821583e+05 +1.071821583e+05 +1.078877983e+05 +1.078877983e+05 -1.1731e+00 -4.9333e+00 +1.6015e+00 +3.6367e+00 +1.0701e+00 -3.6493e+00 -7.1716e-01 -3.6297e+00 -7.9197e-02 -1.1477e+00 +4.1184e+00 -1.4799e+00 -1.5332e+00 -4.6094e+00 +3.0419e+00 +2.7081e+00 -2.7076e+00 -3.2011e+00 -9.2591e-01 +6.2642e-01
12 +8.952413591e+04 +8.952413591e+04 +9.022977591e+04 +9.022977591e+04 +2.5499e+00 -9.8575e-01 -3.9680e+00 -6.7838e-01 +5.2144e-01 +6.0985e-02 -4.4422e-01 +3.5659e+00 -1.0786e+00 -2.8189e-01 -1.3699e+00 -4.1845e+00 +1.8419e+00 -4.4674e+00 +2.9058e+00 -4.2264e+00 -8.5084e-02 +4.6334e-01 +1.6248e+00 -1.4469e+00
13 +7.012640219e+04 +7.012640219e+04 +7.083204219e+04 +7.083204219e+04 +4.0164e+00 -4.5294e+00 +4.2156e+00 -4.6195e+00 +2.8605e+00 -9.3894e-01 +3.7900e+00 +1.3297e+00 +3.1785e+00 -2.1410e+00 +3.4367e+00 -4.7743e+00 -2.5419e+00 -1.8202e+00 +4.3692e+00 +2.1201e+00 -4.2158e+00 +1.5105e+00 -2.0628e-01 -1.5575e-01
25 +5.480744147e+04 +5.480744147e+04 +5.551308147e+04 +5.551308147e+04 +4.2462e+00 +2.2057e+00 +4.6881e+00 -1.4867e+00 -1.8652e+00 -6.5030e-01 -4.5344e+00 +3.7870e+00 +4.5623e+00 +4.1380e+00 -2.5280e+00 -3.0836e-02 +1.9342e+00 -7.5367e-01 +3.0204e+00 -1.9757e+00 -1.3505e+00 -1.3574e-01 +3.9062e-01 +6.1429e-01
106 +4.854082488e+04 +4.854082488e+04 +4.924646488e+04 +4.924646488e+04 -2.8256e+00 +4.2792e+00 +3.2637e+00 -1.7897e+00 -1.1155e+00 +1.9084e+00 -1.2609e+00 +1.6515e+00 +4.3725e+00 +1.5031e+00 +3.9683e+00 +1.7988e+00 +3.8322e-01 -4.4901e+00 +2.6863e+00 +3.6665e+00 -2.5504e+00 +4.1117e+00 -1.0500e+00 +5.9454e-01
182 +9.107841379e+03 +9.107841379e+03 +9.813481379e+03 +9.813481379e+03 +3.1822e-01 +9.8932e-01 -3.0692e+00 +2.8110e+00 +2.7279e+00 +1.6690e+00 +1.9615e+00 +6.6199e-01 -2.3483e-01 +3.5611e+00 -8.0901e-01 -1.7774e+00 -2.1336e+00 -2.7403e+00 +1.2465e+00 +9.1150e-01 -3.4522e+00 +2.4732e+00 -2.3703e-01 +1.3372e+00
463486 +7.066515249e+03 +7.066515249e+03 +7.772155249e+03 +7.772155249e+03 +1.6012e+00 +2.0081e+00 +1.2506e+00 -1.0687e+00 -4.4399e-01 -3.3789e+00 +1.5247e+00 -2.9089e-01 +4.1012e+00 +1.5000e+00 +3.7060e+00 +3.0392e-01 -2.0133e+00 -1.4283e+00 +6.7041e-01 -5.2086e-01 -2.3186e+00 +1.1216e+00 +2.7719e+00 +2.0768e+00
557714 +4.775779357e+03 +4.775779357e+03 +5.481419357e+03 +5.481419357e+03 +1.0940e+00 +9.8984e-01 +1.0759e+00 -4.2195e+00 +5.5256e-01 -3.3564e+00 -8.8903e-03 +3.2331e+00 -1.9189e+00 +7.0982e-01 +3.2428e-01 -1.3715e+00 -1.4563e+00 -3.4523e+00 +6.9446e-01 -4.6776e-02 -1.6543e+00 +5.7194e-01 +1.2240e+00 +1.7394e+00
1444436 +4.314920667e+03 +4.314920667e+03 +5.020560667e+03 +5.020560667e+03 +3.5355e-01 -1.5082e+00 -5.4716e-01 -2.5168e+00 +1.8531e+00 +4.8479e-01 +1.7859e+00 +3.8135e-01 +1.6607e-01 +4.1374e+00 +4.8949e-01 -1.2263e+00 -4.1832e-01 -3.1212e+00 -2.1525e-02 +2.6956e+00 +1.3264e-01 +2.9842e+00 +1.4077e+00 +8.2170e-01
2176379 +1.304639503e+03 +1.304639503e+03 +2.010279503e+03 +2.010279503e+03 +3.0553e+00 -1.5968e+00 +1.2240e+00 -1.1937e+00 +9.4155e-01 -3.0462e+00 +1.4040e+00 +3.1756e+00 -2.5957e-01 +1.2813e+00 +4.4619e-01 -1.5933e+00 -8.4991e-01 -1.1973e+00 +7.1447e-01 +3.0343e+00 -2.3622e+00 +1.5846e+00 +2.3236e+00 +2.3390e+00
38613709 +7.651171587e+02 +7.651171587e+02 +1.470757159e+03 +1.470757159e+03 +1.6757e+00 +4.2764e+00 +1.2665e+00 -3.5527e+00 +1.2692e+00 -3.0585e-01 -2.8041e+00 +2.5878e+00 +1.9120e+00 +1.2311e+00 -4.8556e-01 -2.0005e+00 -1.1140e+00 -2.6426e+00 +4.7042e-01 +2.2258e+00 -1.2341e+00 +2.5005e+00 +2.2987e+00 +5.8208e-01
136725194 +6.563788331e+01 +6.563788331e+01 +7.712778833e+02 +7.712778833e+02 -2.6159e+00 -2.0679e-01 +9.6006e-01 -1.9853e+00 -1.4724e+00 -2.9778e+00 +3.9977e-01 +2.3236e+00 +6.9941e-02 +2.7756e+00 +1.8418e+00 -2.5525e+00 -5.2562e-01 -5.0521e-01 +7.2914e-01 +1.7536e+00 -2.0180e+00 +4.3617e-01 +1.4787e+00 +1.1489e+00
% function evaluation | noise-free fitness - Fopt (1.839000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.632442460e+05 +1.632442460e+05 +1.634281460e+05 +1.634281460e+05 +2.9654e+00 -4.6651e+00 -1.4328e+00 +1.9291e+00 +3.1420e-01 -2.5838e+00 -4.9119e+00 +4.3466e+00 -1.7327e+00 +3.4911e+00 +2.4161e+00 +1.0383e+00 +4.3344e+00 -2.5412e+00 +2.1007e+00 +3.7908e+00 -2.9775e+00 -3.2306e-01 -3.1613e+00 -3.7017e+00
3 +1.616452041e+05 +1.616452041e+05 +1.618291041e+05 +1.618291041e+05 -2.2940e-01 +5.0676e-01 -2.6868e-01 +3.5730e+00 +1.0458e+00 -2.3581e+00 +1.8606e+00 +1.7091e+00 +1.4956e+00 +3.0753e+00 +1.5079e+00 +1.4513e+00 +4.6904e+00 +3.3506e+00 +1.5550e-01 +2.6690e+00 -1.6076e+00 -3.6302e+00 -3.7550e+00 -2.4249e+00
4 +1.183606541e+05 +1.183606541e+05 +1.185445541e+05 +1.185445541e+05 +1.3327e+00 +3.9715e+00 -3.8256e+00 +6.7583e-01 -2.7299e+00 +4.9670e+00 -2.5529e+00 +1.4290e+00 +3.9592e+00 +3.1492e-01 +1.2365e+00 -1.9740e+00 -2.8752e+00 -3.2240e+00 +6.1933e-01 +4.6392e-01 -6.8667e-01 +3.4309e+00 +9.7477e-01 +4.4641e+00
8 +3.777537898e+04 +3.777537898e+04 +3.795927898e+04 +3.795927898e+04 -2.5342e+00 +1.8333e+00 -3.7697e+00 -1.0332e+00 -2.2040e+00 -4.6240e+00 -1.0942e+00 -2.0201e+00 +2.9188e+00 +1.4356e-01 +1.4948e+00 +2.9587e+00 +1.4391e+00 +4.8337e-01 +1.4368e+00 +1.5994e+00 -3.0886e+00 +1.2073e+00 -5.8660e-01 +1.1363e+00
192 +3.594799219e+04 +3.594799219e+04 +3.613189219e+04 +3.613189219e+04 +1.4364e+00 +3.9757e+00 +3.1605e+00 +1.9311e+00 +1.9995e+00 -2.8827e+00 -2.5640e+00 +4.6226e+00 +1.8019e+00 -2.8591e+00 -7.1749e-01 -3.0878e-01 +2.5667e+00 -3.9242e+00 -1.1690e+00 +1.8932e+00 +2.4926e-01 -7.0528e-02 +1.5341e-01 +2.6922e+00
670 +2.379278052e+04 +2.379278052e+04 +2.397668052e+04 +2.397668052e+04 +1.7771e+00 -1.2388e+00 +1.3593e+00 +4.9111e+00 +3.2043e+00 -2.2907e+00 -4.3183e+00 +1.8945e+00 +3.3026e+00 -1.5095e-01 -5.8846e-01 +3.4188e+00 +5.0383e-01 -6.5860e-01 +4.1369e+00 +2.6851e+00 -2.8079e+00 +1.1242e+00 -1.7800e+00 +2.0210e+00
1600 +1.885401992e+04 +1.885401992e+04 +1.903791992e+04 +1.903791992e+04 -2.4527e+00 +1.6187e+00 +2.4533e+00 +1.9187e+00 -2.5390e+00 +4.2451e+00 +3.3466e+00 +2.9920e-01 +1.6501e+00 +9.6266e-01 +7.2966e-01 +1.9376e+00 -2.8119e+00 +1.8990e+00 +3.4425e+00 -1.5374e+00 -1.7050e+00 -1.1982e+00 -2.2150e+00 +2.0894e+00
2499 +1.359245845e+04 +1.359245845e+04 +1.377635845e+04 +1.377635845e+04 +2.0162e+00 +1.2471e+00 -3.5940e+00 +2.1429e+00 -2.6572e-01 +3.4622e+00 -3.1821e+00 +3.1493e+00 +3.2754e+00 -2.8253e+00 -2.2115e+00 +1.9158e+00 -2.3912e+00 -2.3776e+00 +3.3930e+00 +1.4840e+00 -3.3187e+00 -1.6632e+00 -8.2724e-01 +1.9176e+00
25135 +1.311300793e+04 +1.311300793e+04 +1.329690793e+04 +1.329690793e+04 +1.9458e+00 -1.3180e+00 -1.9685e+00 -8.3710e-01 +1.3770e+00 -3.0681e+00 -8.0355e-02 +1.1125e+00 +1.6399e+00 -2.2053e+00 +1.3102e+00 +4.0143e+00 -1.2968e+00 -2.5079e+00 -7.3405e-01 +4.5568e+00 -4.8562e-01 -2.1289e+00 -2.4636e-01 +2.6145e+00
42559 +1.190602649e+04 +1.190602649e+04 +1.208992649e+04 +1.208992649e+04 -2.6694e+00 -1.5752e+00 +4.7456e+00 -4.2804e+00 -1.5015e+00 +2.7566e-01 -2.8346e+00 +9.5852e-01 +3.5091e+00 -1.9498e-01 -4.2469e+00 +6.7702e-01 +1.8758e-01 -1.4822e+00 +7.9511e-01 +3.2355e+00 -1.9186e+00 -3.1599e+00 -7.7560e-01 +2.1023e+00
46365 +8.581284739e+03 +8.581284739e+03 +8.765184739e+03 +8.765184739e+03 -2.1523e+00 +1.2323e-01 -2.1478e+00 -3.5157e+00 +2.1648e+00 -1.5826e+00 -1.8695e+00 +1.5038e+00 -6.1465e-01 -8.9797e-01 -3.8310e+00 +1.8057e+00 -1.3237e+00 -1.9612e+00 +1.4900e+00 +3.6705e+00 -2.8035e+00 -1.4126e+00 -1.8617e+00 +9.4401e-01
67712 +7.553664572e+03 +7.553664572e+03 +7.737564572e+03 +7.737564572e+03 -3.7937e+00 +1.7726e+00 -8.7551e-01 -2.5745e+00 -2.8236e+00 +3.3263e+00 -8.6957e-01 +1.7014e+00 -2.7556e-01 +7.1688e-01 -3.8944e+00 +1.6180e+00 -1.4617e+00 +6.5965e-01 +1.6199e+00 +4.1416e-01 +1.7300e-01 -2.8102e+00 -1.6297e+00 +2.6672e+00
74197 +6.593149621e+03 +6.593149621e+03 +6.777049621e+03 +6.777049621e+03 +4.1855e+00 +1.3706e-01 -1.8390e+00 -2.4038e+00 -1.3234e+00 +4.9504e-01 +1.4097e+00 +2.6354e+00 -1.5415e+00 -3.8322e-01 -6.8431e-01 -8.3854e-01 -3.9923e+00 -4.0995e-01 +6.0332e-01 +1.2764e+00 -2.4401e+00 -1.3627e+00 -3.0897e+00 +1.0490e+00
151892 +5.113327928e+03 +5.113327928e+03 +5.297227928e+03 +5.297227928e+03 +5.2843e-01 -3.3138e+00 +3.5722e+00 -2.2797e+00 +2.0272e+00 -5.2490e-01 -1.4118e+00 +2.8166e+00 +2.8386e+00 -1.2391e+00 -2.4948e+00 -9.6531e-01 -1.7426e+00 +1.6678e-01 -2.3094e-01 +3.0479e+00 -1.0143e+00 -2.3750e+00 -7.0123e-01 +2.9251e+00
208385 +4.556947014e+03 +4.556947014e+03 +4.740847014e+03 +4.740847014e+03 -8.2594e-01 +2.1735e+00 -2.0565e+00 -1.8308e+00 +1.9144e+00 -1.5735e+00 +1.7454e-01 +1.0441e-01 -1.4147e+00 -1.7499e+00 -9.8843e-01 +3.1756e+00 +3.1486e-01 -3.6473e+00 +1.8021e+00 +2.5883e+00 -2.4725e+00 +1.6312e-01 -1.6324e+00 +9.0825e-01
1052131 +2.288851436e+03 +2.288851436e+03 +2.472751436e+03 +2.472751436e+03 +2.3586e+00 +1.8161e+00 +2.1627e-02 -2.6094e+00 +1.9712e+00 -1.3033e+00 -5.8172e-01 -2.1152e-01 +3.1068e+00 -9.8758e-01 +3.5741e-01 +2.6807e+00 -5.2826e-01 -2.8350e+00 -1.5526e-01 +1.0014e+00 -7.0882e-01 -3.4153e-01 -3.6846e-01 +1.0286e+00
22729185 +1.970225502e+03 +1.970225502e+03 +2.154125502e+03 +2.154125502e+03 +2.0070e+00 -3.3058e-01 +2.6150e-01 -2.6718e+00 +2.1058e+00 -7.3960e-01 +2.1824e-01 -1.6559e+00 +2.7542e+00 -1.5620e+00 -2.5486e+00 +1.4484e+00 -7.6320e-01 -1.2495e+00 +2.5957e+00 +2.4744e+00 -1.3501e+00 -2.4059e+00 -2.2065e+00 +1.8022e+00
78093326 +9.996171712e+02 +9.996171712e+02 +1.183517171e+03 +1.183517171e+03 +2.7938e-01 +3.6149e+00 -2.1699e+00 -5.7902e-01 +2.8021e+00 -1.7602e+00 -1.8639e+00 -4.7237e-01 +1.2613e+00 -2.8787e+00 +5.1234e-01 +1.3555e+00 -1.3900e+00 -1.0693e+00 +1.5712e+00 +2.2479e+00 -2.6039e+00 -2.0293e+00 -2.5258e+00 +1.0899e+00
156377244 +5.682811784e+02 +5.682811784e+02 +7.521811784e+02 +7.521811784e+02 -1.0846e+00 -5.0380e-01 -8.1386e-01 -1.9848e+00 -3.6640e-02 +3.1331e+00 +1.2021e+00 +1.0377e+00 +1.2663e+00 +3.8698e-01 -1.4825e+00 +8.3353e-01 -1.4833e+00 -1.4339e+00 +2.0597e+00 +9.1823e-01 -2.6942e-01 -1.2516e+00 -5.8749e-01 +1.9830e+00
% function evaluation | noise-free fitness - Fopt (1.321000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.220476495e+05 +2.220476495e+05 +2.221797495e+05 +2.221797495e+05 -9.6961e-02 +2.6439e+00 -2.5535e+00 -2.6761e+00 +4.0191e-01 -4.6120e+00 +4.8816e+00 +2.1697e+00 +2.1479e+00 -3.1966e+00 +1.1949e+00 -8.6683e-01 -2.0169e+00 -4.6971e-01 -1.1541e+00 +2.3896e+00 -2.8887e+00 -2.3870e+00 +1.7464e+00 +3.9202e+00
2 +1.446396536e+05 +1.446396536e+05 +1.447717536e+05 +1.447717536e+05 +4.5428e+00 +1.2770e+00 +4.6896e+00 +3.4584e+00 -4.9080e+00 +4.5769e+00 +1.2286e+00 -1.4707e+00 -4.5478e+00 +4.2547e+00 +1.0254e-01 -6.7757e-01 +2.7310e+00 +1.9598e+00 +1.4877e+00 +4.3669e+00 +9.3454e-01 +3.3137e+00 +2.2117e+00 +3.2320e+00
6 +1.289484676e+05 +1.289484676e+05 +1.290805676e+05 +1.290805676e+05 -4.1104e+00 -1.7184e+00 -4.3816e+00 -4.9807e+00 +1.4395e+00 -2.8882e+00 -1.1991e+00 -5.4349e-01 -5.5297e-01 -2.2080e+00 -8.9848e-01 -1.6073e+00 -9.0329e-01 +4.2759e-01 +4.7465e+00 +2.0890e+00 +3.1378e-01 -5.6048e-01 -1.4367e+00 +1.2899e-01
9 +5.670270017e+04 +5.670270017e+04 +5.683480017e+04 +5.683480017e+04 +2.3470e-01 +3.8144e+00 +1.2956e+00 +1.4035e+00 -4.3313e+00 +2.3812e+00 -1.6138e+00 +3.9184e+00 +3.8784e+00 +4.5094e+00 -9.6853e-01 +9.3095e-01 +4.7625e+00 -5.7765e-01 +1.7558e+00 +2.7337e-01 +2.4777e+00 +2.3394e+00 +2.8812e+00 +2.0874e-01
59 +4.866975859e+04 +4.866975859e+04 +4.880185859e+04 +4.880185859e+04 +1.7479e+00 +7.3142e-01 +4.8375e+00 -3.4614e+00 +2.1921e+00 +3.6266e-01 +1.9315e+00 -2.8257e+00 +1.6317e+00 -2.8021e+00 -4.7644e+00 +3.5788e+00 +3.7653e+00 +1.7528e+00 -2.1089e+00 +5.3825e-01 +3.1907e-01 +1.9542e+00 -6.3902e-01 -1.1863e+00
73 +4.432088315e+04 +4.432088315e+04 +4.445298315e+04 +4.445298315e+04 -4.3843e+00 -1.6544e+00 +6.7590e-01 +1.4696e+00 -3.1230e+00 -9.4025e-01 -3.1776e+00 -2.2477e+00 +2.5456e+00 +3.7444e-01 +3.9620e+00 +3.6476e+00 +2.0868e+00 +7.9926e-01 +1.3128e+00 +1.6835e+00 +1.1544e+00 +4.4650e+00 +1.3614e+00 +1.1497e+00
112 +4.016087467e+04 +4.016087467e+04 +4.029297467e+04 +4.029297467e+04 -1.5566e+00 -2.2709e-01 -4.1612e+00 -2.1660e+00 -2.8573e+00 -5.6013e-01 -9.3883e-01 +2.5923e+00 -3.8972e+00 +2.3429e+00 +1.1132e+00 -2.9369e+00 +2.8087e+00 -3.5953e-01 -2.4307e+00 +1.6552e+00 +2.7636e+00 +1.9989e+00 +2.1701e+00 -2.3182e+00
274 +3.369780435e+04 +3.369780435e+04 +3.382990435e+04 +3.382990435e+04 +1.5358e+00 -3.7383e+00 +3.0943e+00 +1.4965e+00 -1.7366e+00 +1.3372e+00 +6.8902e-01 -2.4787e+00 -3.1971e+00 -7.4279e-01 +3.1818e+00 +1.7666e+00 +2.7548e+00 -1.1130e+00 -3.4525e+00 -1.1473e+00 +4.7038e+00 +4.5185e-01 +1.8871e+00 -2.7817e+00
359 +2.820389225e+04 +2.820389225e+04 +2.833599225e+04 +2.833599225e+04 +4.8417e+00 +2.9365e+00 -3.5471e+00 -1.7218e+00 +9.8020e-01 -2.0746e+00 -4.5074e+00 -2.3081e+00 +2.9979e+00 -3.2071e+00 -2.4133e+00 +2.5198e+00 -6.0902e-01 +3.6882e-01 -1.5995e+00 +2.0906e+00 +2.9569e+00 +2.3025e+00 +4.1505e+00 -8.2591e-01
